,,,,,,EUR,"4,40",USD,"3,7",,,,,,,,,,,,,,,,,,,,
SPO02,2018-07-07,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"95 645,94 zł","23 242,70 zł","60 341,16 zł","3 912,00 zł","8 150,08 zł","5263,27","66 485,10 zł","32 934,00 zł",43,43,,PORTUGALIA,15,1599,1499,0,1,0,0,1,LATO,3,0,1
SGR04,2018-07-09,0,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=63726863,"7 040,00 zł","0,00 zł","7 040,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",40,0,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
ASP02,2018-07-10,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"58 780,30 zł","28 198,18 zł","28 996,00 zł","1 300,00 zł","286,12 zł","2955,8","47 918,40 zł","12 936,00 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY02,2018-07-10,1,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),https://docs.google.com/spreadsheets/d/1mrluCtNuEAe6WiDIHPt9yIysAQfAVW8CBgkO2tw7osA/edit#gid=2121134962,"82 300,53 zł","20 816,19 zł","52 412,80 zł","1 480,50 zł","7 591,04 zł","4082,4","67 446,00 zł","37 096,09 zł",45,44,,HISZPANIA,10,1599,1399,1,0,0,0,1,LATO,3,0,1
SAS02,2018-07-11,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU03,2018-07-11,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"39 537,16 zł","11 844,00 zł","9 350,00 zł","2 456,50 zł","15 886,66 zł","2642,86","56 124,00 zł","16 922,00 zł",50,48,,CZARNOGÓRA,10,999,799,1,0,0,0,1,LATO,0,0,1
SSE03,2018-07-11,0,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=95364099,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",0,0,,ALBANIA,10,,,1,0,0,0,1,LATO,4,0,1
SVV06,2018-07-11,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"29 592,14 zł","15 909,26 zł","8 140,00 zł","1 144,00 zł","4 398,88 zł","1505,89","33 272,00 zł","5 126,00 zł",20,20,,GRECJA ,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB02,2018-07-12,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"32 098,47 zł","14 396,27 zł","15 215,20 zł","1 144,00 zł","1 343,00 zł","2011,35","24 406,00 zł","0,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SLS01,2018-07-12,1,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,https://docs.google.com/spreadsheets/d/1tIpL-35ubjH4PqQrsF7x3jJrz4EVHuqDD6Zh_3N261U/edit#gid=1626993402,"30 923,92 zł","11 527,20 zł","17 177,60 zł","1 001,00 zł","1 218,12 zł","2740,51","30 775,00 zł","0,00 zł",20,26,,HISZPANIA,8,2399,2199,1,0,1,0,0,LATO,3,0,1
SSA02,2018-07-12,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=1626993402,"34 699,43 zł","13 670,00 zł","19 773,60 zł","910,00 zł","345,83 zł","2041,93","42 142,00 zł","343,20 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBZ04,2018-07-13,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=733438870,"142 933,71 zł","26 490,98 zł","112 512,40 zł","1 776,00 zł","2 154,33 zł",0,"172 052,55 zł","0,00 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SGK03,2018-07-13,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"40 873,04 zł","18 475,60 zł","10 824,00 zł","1 144,00 zł","10 429,44 zł","2782,81","33 326,00 zł","15 212,56 zł",60,60,,GRECJA,10,799,699,1,0,0,0,1,LATO,0,0,1
SLW03,2018-07-13,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SPO03,2018-07-14,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"71 597,88 zł","10 000,00 zł","50 291,12 zł","5 200,00 zł","6 106,76 zł","5263,27","52 759,20 zł","28 915,92 zł",43,43,,PORTUGALIA,15,1699,1599,0,1,0,0,1,LATO,3,0,1
SRI01,2018-07-14,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"132 656,16 zł","46 533,31 zł","68 574,00 zł","5 095,50 zł","12 453,35 zł",0,"40 852,25 zł","9 592,00 zł",40,0,,Włochy,10,1299,999,1,,,,1,Lato,3,,1
SCH03,2018-07-15,1,IG,(ID1257) Chorwacja | Makarska (12 dni),https://docs.google.com/spreadsheets/d/10hR0Xf13yTY_Bl2iWIBYv8YzD2xYJ-qpcfY99p-1KEc/edit#gid=552527898,"100 561,49 zł","19 816,00 zł","59 298,80 zł","4 294,50 zł","17 152,19 zł","4515,4","111 161,20 zł","316,80 zł",94,90,,CHORWACJA,12,1099,999,1,0,0,0,1,LATO,0,0,1
ASP03,2018-07-17,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"59 222,78 zł","27 498,18 zł","30 113,60 zł","1 300,00 zł","311,00 zł","2073,81","54 177,00 zł","19 800,00 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY03,2018-07-17,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),,"9 916,60 zł","9 916,60 zł","0,00 zł","0,00 zł","0,00 zł","4483,78","0,00 zł","0,00 zł",45,44,,HISZPANIA,10,1599,1399,1,0,0,0,1,LATO,3,0,1
SAS03,2018-07-18,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU04,2018-07-18,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"55 012,09 zł","9 742,14 zł","20 504,00 zł","1 680,00 zł","23 085,95 zł","2642,86","51 862,50 zł","18 635,40 zł",50,48,,CZARNOGÓRA,10,999,799,1,0,0,0,1,LATO,0,0,1
SGR05,2018-07-18,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=2121134962,"41 121,45 zł","9 960,00 zł","12 474,00 zł","2 779,00 zł","15 908,45 zł","2218,22","33 675,80 zł","13 046,00 zł",40,52,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
SNU04,2018-07-18,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE04,2018-07-18,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=2121134962,"44 211,00 zł","10 736,00 zł","31 878,00 zł","1 421,00 zł","176,00 zł","3378,14","57 014,60 zł","924,00 zł",42,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV07,2018-07-18,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"35 179,26 zł","17 669,26 zł","8 140,00 zł","1 144,00 zł","8 226,00 zł","1505,89","33 434,00 zł","10 428,00 zł",20,20,,GRECJA,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB03,2018-07-19,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"30 652,80 zł","14 060,12 zł","15 215,20 zł","1 144,00 zł","233,48 zł","2011,35","34 361,00 zł","0,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SLS02,2018-07-19,0,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","1640,04","0,00 zł","0,00 zł",20,13,,HISZPANIA,8,2399,2199,1,0,1,0,0,LATO,3,0,1
SSA03,2018-07-19,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=1626993402,"30 738,20 zł","14 626,24 zł","15 030,40 zł","759,50 zł","322,06 zł","2041,93","35 880,00 zł","334,40 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBL01,2018-07-20,1,MM,(ID1272) BalticTRIP | Skandynawia + Sankt Petersburg | 5 miejscówek,https://docs.google.com/spreadsheets/d/1KckZ7G-meBrofFajgjcmIGIJ3nraH84RenwoGyQ5-mk/edit#gid=216519208,"24 748,30 zł","6 045,10 zł","16 491,20 zł","1 980,00 zł","232,00 zł","2960,67","15 638,05 zł","10 201,18 zł",40,44,,SZWECJA,6,799,549,0,1,0,1,1,LATO,0,0,1
SBZ05,2018-07-20,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=2091249712,"159 716,47 zł","30 775,50 zł","119 411,60 zł","2 359,00 zł","7 170,37 zł",0,"184 833,65 zł","5 412,80 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SCN01,2018-07-20,0,ŁR,(ID1313) Francja | Cannes (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGK04,2018-07-20,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"57 144,32 zł","22 598,52 zł","17 727,60 zł","3 784,50 zł","13 033,70 zł","2834,6","46 784,00 zł","18 775,24 zł",60,60,,GRECJA,10,899,799,1,0,0,0,1,LATO,0,0,1
SLW04,2018-07-20,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SPO04,2018-07-21,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"88 338,36 zł","33 704,26 zł","42 664,60 zł","4 709,50 zł","7 260,00 zł","5263,27","57 524,80 zł","31 714,32 zł",43,43,,PORTUGALIA,15,1799,1699,0,1,0,0,1,LATO,3,0,1
SRI02,2018-07-21,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"52 799,71 zł","0,00 zł","37 545,20 zł","1 524,00 zł","13 730,51 zł",0,"64 106,00 zł","19 828,00 zł",40,0,,Włochy,10,1299,999,1,,,,1,Lato,3,,1
SFL01,2018-07-22,1,ŁR,(ID1306) Włochy | Rimini (HB) | #Samolot,https://docs.google.com/spreadsheets/d/1ChVutisQIqRxc2ofMaRzDtla06RaAcKkZ8wZiymPIJg/edit#gid=2121134962,"24 033,47 zł","10 469,60 zł","9 917,60 zł","1 754,78 zł","1 891,49 zł",0,"25 170,00 zł","0,00 zł",10,0,,Włochy,7,1999,1699,1,,1,,,Lato,3,,1
ASP04,2018-07-24,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"73 502,78 zł","27 797,18 zł","44 800,80 zł","904,80 zł","0,00 zł","3712,48","0,00 zł","19 118,00 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SCH04,2018-07-24,1,IG,(ID1257) Chorwacja | Makarska (12 dni),https://docs.google.com/spreadsheets/d/10hR0Xf13yTY_Bl2iWIBYv8YzD2xYJ-qpcfY99p-1KEc/edit#gid=773222901,"106 282,80 zł","22 268,00 zł","59 435,20 zł","7 154,00 zł","17 425,60 zł","4515,4","105 981,00 zł","15 587,00 zł",94,90,,CHORWACJA,12,1099,999,1,0,0,0,1,LATO,0,0,1
SYY04,2018-07-24,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł","4483,78","0,00 zł","0,00 zł",45,44,,HISZPANIA,10,1699,1599,1,0,0,0,1,LATO,3,0,1
SAS04,2018-07-25,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU05,2018-07-25,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"58 963,50 zł","12 317,50 zł","25 405,60 zł","1 421,00 zł","19 819,40 zł","2642,86","61 097,55 zł","17 254,40 zł",50,48,,CZARNOGÓRA,10,999,899,1,0,0,0,1,LATO,0,0,1
SNU05,2018-07-25,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE05,2018-07-25,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=1897107618,"52 254,77 zł","12 332,00 zł","36 119,60 zł","1 416,00 zł","2 387,17 zł","3378,14","64 806,30 zł","1 020,80 zł",47,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV08,2018-07-25,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"28 611,72 zł","15 909,26 zł","9 746,00 zł","1 514,50 zł","1 441,96 zł","1505,89","33 534,25 zł","704,00 zł",20,20,,GRECJA ,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB04,2018-07-26,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"30 586,08 zł","14 042,52 zł","15 215,20 zł","1 092,00 zł","236,36 zł","2011,35","400 958,23 zł","550,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
SLS03,2018-07-26,0,MM,(ID1287) Hiszpania | Lloret de Mar #Samolot,,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",20,0,,HISZPANIA,8,2399,2199,1,0,1,0,0,LATO,3,0,1
SSA04,2018-07-26,1,IG,(ID1273) Albania | Shëngjin (All Inclusive Light) | #Samolot,https://docs.google.com/spreadsheets/d/116pjE41WwJifq1h2gRRzt1JSXDBe9ZRXhAvaScgDhfg/edit#gid=1626993402,"32 876,57 zł","14 626,24 zł","17 996,00 zł","1 008,00 zł","-753,67 zł","2041,93","36 145,00 zł","677,60 zł",20,20,,ALBANIA,8,2199,1999,1,0,1,0,0,LATO,4,0,1
SBZ06,2018-07-27,1,ŁR,(ID1267) Bułgaria | Złote Piaski (All Inclusive | 10 dni),https://docs.google.com/spreadsheets/d/1A1LZFRn3lQEaplhVTT8_tYRraqgMXg1YAihCOhgHy58/edit#gid=391333091,"127 721,84 zł","29 944,75 zł","93 478,00 zł","2 359,00 zł","1 940,09 zł",0,"160 081,20 zł","88,00 zł",130,0,,Bułgaria,10,1399,1099,1,0,0,0,1,Lato,3,,1
SCN02,2018-07-27,0,ŁR,(ID1313) Francja | Cannes (10 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SGK05,2018-07-27,1,MM,(ID1256) Grecja | Wyspa Korfu | Kavos (10 dni),https://docs.google.com/spreadsheets/d/1OPNWg-dq3-IzSvgR2szOPiCEfW9Wjz4W5gxfZdqqIt8/edit#gid=2121134962,"62 158,73 zł","21 385,08 zł","19 404,00 zł","5 853,50 zł","15 516,15 zł","2834,6","60 272,80 zł","24 844,16 zł",60,60,,GRECJA,10,899,799,1,0,0,0,1,LATO,0,0,1
SGR06,2018-07-27,1,ŁR,(ID1291) Grecja | Kokkino Nero | 12 dni,https://docs.google.com/spreadsheets/d/1Itp3gsbuKTQI4A3msgFXcjStTyQnDa1oOevQxp-kao8/edit#gid=2121134962,"30 206,56 zł","13 694,00 zł","10 010,00 zł","3 895,50 zł","2 607,06 zł","2218,22","32 481,70 zł","3 269,20 zł",40,52,,Grecja,12,899,599,1,0,0,0,1,Lato,0,,1
SLW05,2018-07-27,0,,(ID1337) Lucky Holidays! | Niespodzianka (7 - 15 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SPO05,2018-07-28,1,MM,(ID1270) EuroTRIP | Portugalia | 6 miejscówek,https://docs.google.com/spreadsheets/d/1BJEY54DD17VBRmVqen3r_Umq9Jirs7-z9GAKiy0a7ws/edit#gid=1626993402,"90 548,67 zł","43 410,90 zł","43 435,44 zł","3 528,00 zł","174,33 zł","5613,1","60 726,60 zł","36 640,16 zł",43,43,,PORTUGALIA,15,1799,1699,0,1,0,0,1,LATO,3,0,1
SRI03,2018-07-28,1,ŁR,(ID1258) Włochy | Rimini + Wenecja (HB | 10 dni),https://docs.google.com/spreadsheets/d/1o0hKe1KuI54aJN4-yn9ZnhP4dFi4J_ZbJ1A8THZ443o/edit#gid=1626993402,"50 296,80 zł","13 083,10 zł","28 336,00 zł","1 270,50 zł","7 607,20 zł",0,"54 424,80 zł","6 661,60 zł",40,0,,Włochy,10,1499,1199,1,,,,1,Lato,3,,1
SFL02,2018-07-29,1,ŁR,(ID1306) Włochy | Rimini (HB) | #Samolot,https://docs.google.com/spreadsheets/d/1ChVutisQIqRxc2ofMaRzDtla06RaAcKkZ8wZiymPIJg/edit#gid=2121134962,"26 529,27 zł","13 174,80 zł","11 334,40 zł","1 754,78 zł","265,29 zł",0,"30 964,00 zł","0,00 zł",10,0,,Włochy,7,1999,1699,1,,1,,,Lato,3,,1
ASP05,2018-07-31,1,ŁR,(ID1268) Bułgaria | Złote Piaski | (All inclusive) #Samolot | Gladiola,https://docs.google.com/spreadsheets/d/1NweUBGI98lOoydGVuQWoGlxL-rzhWO-apDFTMdCeyoA/edit#gid=2121134962,"65 860,51 zł","27 498,18 zł","37 059,44 zł","904,80 zł","398,09 zł","3712,48","69 393,00 zł","0,00 zł",40,0,,Bułgaria,7,2099,1799,1,,1,0,0,Lato,3,,1
SYY05,2018-07-31,0,MM,(ID1261) Hiszpania | Lloret de Mar (HB | 10 dni),,"10 653,70 zł","10 653,70 zł","0,00 zł","0,00 zł","0,00 zł","4483,78","0,00 zł","0,00 zł",45,44,,HISZPANIA,10,1699,1599,1,0,0,0,1,LATO,3,0,1
SAS05,2018-08-01,0,IG,(ID1283) Albania | Shëngjin + Ohrid (BB | 12 dni),,"0,00 zł","0,00 zł","0,00 zł","0,00 zł","0,00 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SBU06,2018-08-01,1,MM,(ID1255) Czarnogóra | Budva + Dubrovnik (BB | 10 dni),https://docs.google.com/spreadsheets/d/1G3AdbRtMURmrMnNRby4Kpa8x3UXWCh6StT2DN889uCU/edit#gid=2121134962,"65 222,62 zł","13 987,14 zł","24 112,00 zł","1 179,50 zł","25 943,98 zł","2642,86","47 033,00 zł","21 178,40 zł",50,48,,CZARNOGÓRA,10,999,899,1,0,0,0,1,LATO,0,0,1
SNU06,2018-08-01,0,IG,(ID1289) Bośnia | Neum + Dubrownik (HB | 10 dni) NOWOŚĆ!,,"730,86 zł","0,00 zł","0,00 zł","0,00 zł","730,86 zł",0,"0,00 zł","0,00 zł",,0,,,,,,,,,,,,,,
SSE06,2018-08-01,1,IG,(ID1262) Albania | Shëngjin (All Inclusive Light | 10 dni),https://docs.google.com/spreadsheets/d/1FQ3lCfW74DwvJBE7pdGYiMXLHZLpKwP-IqHN9qzf2AY/edit#gid=2088416783,"61 720,06 zł","12 324,00 zł","37 598,00 zł","1 120,00 zł","10 678,06 zł","3378,14","59 505,00 zł","20 042,00 zł",47,48,,ALBANIA,10,1249,1149,1,0,0,0,1,LATO,4,0,1
SVV09,2018-08-01,1,MM,(ID1290) Grecja | Korfu | Kavos #Samolot,https://docs.google.com/spreadsheets/d/1xqSJZsQSTtem_dZdmXlZ4_x5k4744KYxO92G0DhprrI/edit#gid=2121134962,"31 133,46 zł","15 795,06 zł","6 666,00 zł","1 014,00 zł","7 658,40 zł","1505,89","36 516,20 zł","6 776,00 zł",20,20,,GRECJA,8,1699,1499,1,0,1,0,0,LATO,3,0,1
SBB05,2018-08-02,1,MM,(ID1292) Czarnogóra | Budva #Samolot,https://docs.google.com/spreadsheets/d/1S1gPOsto5z_-lwEUQqkGoUOfcR0SYlMCnsRp3P0A8JE/edit#gid=1805198381,"30 789,72 zł","14 482,52 zł","15 215,20 zł","1 092,00 zł","0,00 zł","2011,35","40 760,00 zł","0,00 zł",20,20,,CZAROGÓRA,8,1899,1699,1,0,1,0,0,LATO,3,0,1
